event_id,date,category,company,product,location,source,url,summary,title
931662ef-fa33-486e-b20e-1988f24fa105,"Wed, 29 Ju",MODEL_RELEASE,Karpathy,,,arXiv cs.AI,https://arxiv.org/abs/2607.24759,"arXiv:2607.24759v1 Announce Type: new 
Abstract: Research projects, educational efforts, and adjacent knowledge work accumulate findings, decisions, and reasoning that future collaborators rarely recover. The parts most useful to that work, including dead ends and walked-back claims, are routinel...",Beyond Memory: A Templated Substrate for Heterogeneous Collaborative Knowledge Work with LLM Agents
8b53d161-8624-4ad6-b7c4-56f09f05ad65,"Wed, 29 Ju",MODEL_RELEASE,Progressive Nucleation,,,arXiv cs.AI,https://arxiv.org/abs/2607.24766,"arXiv:2607.24766v1 Announce Type: new 
Abstract: Large language models (LLMs) can generate individual charts, but coordinated multi-view visualizations (CMVs), where views share data flows and cross-view interactions, remain out of reach. Tight field-level coupling among data transformations, vis...",Crystalis: Progressive Nucleation and Semantic Annealing for Coordinated Multi-View Visualization Generation
befcea41-ca8d-4eac-b71b-a591acb74016,"Wed, 29 Ju",MODEL_RELEASE,PATHFinder,GPT-5,Michigan,arXiv cs.AI,https://arxiv.org/abs/2607.24768,"arXiv:2607.24768v1 Announce Type: new 
Abstract: Prenatal care is an important preventive service designed to improve outcomes for pregnant individuals. The American College of Obstetricians and Gynecologists (ACOG) recently introduced guidelines advocating tailored prenatal care, called PATH (Pl...",PATHFinder Agent for Tailored Prenatal Care
77a24d99-907e-4dae-8211-44abb7a274ac,"Wed, 29 Ju",MODEL_RELEASE,LLM Scheming Inversely Scales,Qwen,Qwen3,arXiv cs.AI,https://arxiv.org/abs/2607.24769,"arXiv:2607.24769v1 Announce Type: new 
Abstract: With the growing capabilities of frontier models, AI alignment becomes increasingly critical in high-risk deployment settings. While recent work has empirically demonstrated in-context scheming -- the covert pursuit of misaligned objectives while f...",LLM Scheming Inversely Scales with Pretraining Language Coverage
f783cee0-09a0-4cc8-9ff8-a3b42cb51ff9,"Wed, 29 Ju",MODEL_RELEASE,NVIDIA,,,arXiv cs.AI,https://arxiv.org/abs/2607.24770,"arXiv:2607.24770v1 Announce Type: new 
Abstract: Procedural tasks such as furniture assembly and home repair impose substantial cognitive demands because users must interpret instructions, track task progress, reason about spatial state, and recover from errors while performing physical actions. ...",ProcAgent: An Agentic Framework for Procedural Task Guidance on Edge with Human-in-the-Loop
6eb858a5-99b2-4542-a83b-46e251f35d02,"Wed, 29 Ju",MODEL_RELEASE,RS,DeepSeek,,arXiv cs.AI,https://arxiv.org/abs/2607.24772,"arXiv:2607.24772v1 Announce Type: new 
Abstract: Geoscience research requires complex analysis and domain expertise, with remote sensing (RS) observations as a key foundation. However, existing RS agents built on general-purpose LLMs remain largely domain-agnostic, resulting in brittle and error-...",RSMeM: Knowledge-Enhanced Memory Evolution for Remote Sensing Agents with Systematic Evaluation
c9671086-b58d-4df6-911e-95a416ca5f98,"Wed, 29 Ju",MODEL_RELEASE,Atmospheric Diffusion-Guided Spatio-Temporal Transformer for Nuclear Radiation Forecasting,,Japan,arXiv cs.AI,https://arxiv.org/abs/2607.24774,"arXiv:2607.24774v1 Announce Type: new 
Abstract: Nuclear radiation, the energy released during atomic decay, poses persistent risks to public health and the environment, and concerns have only grown since the Fukushima accident and the recent commencement of treated-water discharge. Modern monito...",Atmospheric Diffusion-Guided Spatio-Temporal Transformer for Nuclear Radiation Forecasting
7de4d60c-784b-4bfd-871d-71a6f9a13367,"Wed, 29 Ju",MODEL_RELEASE,Meta,,,arXiv cs.AI,https://arxiv.org/abs/2607.24777,"arXiv:2607.24777v1 Announce Type: new 
Abstract: Architected metamaterials derive their functions from structure, creating vast opportunities to program physical responses through topology design. However, existing design methods are often tailored to individual design problems, making limited us...",Steering topology distributions for unified generative design of architected metamaterials
6e53d518-6c2f-4916-b99b-0b0ed36bb4ac,"Wed, 29 Ju",MODEL_RELEASE,Forecasting,Gemini 2,Qwen3,arXiv cs.AI,https://arxiv.org/abs/2607.24782,"arXiv:2607.24782v1 Announce Type: new 
Abstract: LLM behavior may be conditioned by human identity in several ways: they may be asked to adapt to users, role-play populations, or forecast how people would answer value-laden questions. We test whether these framings are interchangeable using the W...","Personalization, Personas, and Forecasting in Value Alignment"
15327ff5-5d89-4095-ba85-93e1afa56aa6,"Wed, 29 Ju",MODEL_RELEASE,Specialised,DeepSeek,,arXiv cs.AI,https://arxiv.org/abs/2607.24784,"arXiv:2607.24784v1 Announce Type: new 
Abstract: Specialised translation relies on the use of documentary and terminological resources, including corpora. These resources are particularly useful for terminology.",On the Use of LLMs for Specialised Terminology: A Good Alternative to Corpora?
5e75e3f4-9802-49ec-aa9d-1eeb883267b0,"Wed, 29 Ju",MODEL_RELEASE,Mechanisms of Width Scaling,Llama,,arXiv cs.LG,https://arxiv.org/abs/2607.24887,"arXiv:2607.24887v1 Announce Type: new 
Abstract: Existing theories of neural-network width characterize asymptotic limits, but provide limited guidance on whether an expansion direction identified from finite training data remains beneficial on unseen data. We study this problem for function-pres...",Mechanisms of Width Scaling in Normalized Residual Networks: The Effective Alignment Dimension
